Date,Fajr,Dhuhr,Asr,Maghrib,Isha
2025-12-01,05:20 AM,12:10 PM,02:20 PM,04:05 PM,05:35 PM
2025-12-02,05:21 AM,12:10 PM,02:21 PM,04:05 PM,05:35 PM
2025-12-03,05:22 AM,12:10 PM,02:22 PM,04:04 PM,05:35 PM
2025-12-04,05:23 AM,12:11 PM,02:22 PM,04:04 PM,05:34 PM
2025-12-05,05:24 AM,12:11 PM,02:23 PM,04:04 PM,05:34 PM
2025-12-06,05:26 AM,12:11 PM,02:24 PM,04:03 PM,05:34 PM
2025-12-07,05:27 AM,12:12 PM,02:24 PM,04:03 PM,05:34 PM
2025-12-08,05:28 AM,12:12 PM,02:25 PM,04:03 PM,05:33 PM
2025-12-09,05:29 AM,12:12 PM,02:25 PM,04:02 PM,05:33 PM
2025-12-10,05:30 AM,12:13 PM,02:26 PM,04:02 PM,05:33 PM
2025-12-11,05:31 AM,12:13 PM,02:26 PM,04:02 PM,05:33 PM
2025-12-12,05:33 AM,12:14 PM,02:27 PM,04:02 PM,05:33 PM
2025-12-13,05:34 AM,12:14 PM,02:27 PM,04:02 PM,05:33 PM
2025-12-14,05:35 AM,12:14 PM,02:28 PM,04:02 PM,05:33 PM
2025-12-15,05:36 AM,12:15 PM,02:28 PM,04:02 PM,05:33 PM
2025-12-16,05:37 AM,12:15 PM,02:29 PM,04:02 PM,05:33 PM
2025-12-17,05:38 AM,12:16 PM,02:29 PM,04:02 PM,05:34 PM
2025-12-18,05:39 AM,12:16 PM,02:30 PM,04:03 PM,05:34 PM
2025-12-19,05:40 AM,12:17 PM,02:30 PM,04:03 PM,05:34 PM
2025-12-20,05:41 AM,12:17 PM,02:31 PM,04:04 PM,05:35 PM
2025-12-21,05:45 AM,12:15 PM,02:30 PM,04:15 PM,05:45 PM
2025-12-22,05:46 AM,12:15 PM,02:31 PM,04:16 PM,05:46 PM
2025-12-23,05:47 AM,12:16 PM,02:32 PM,04:17 PM,05:47 PM
2025-12-24,05:48 AM,12:16 PM,02:33 PM,04:18 PM,05:48 PM
2025-12-25,05:49 AM,12:17 PM,02:34 PM,04:19 PM,05:49 PM
2025-12-26,05:50 AM,12:17 PM,02:35 PM,04:20 PM,05:50 PM
2025-12-27,05:51 AM,12:18 PM,02:36 PM,04:21 PM,05:51 PM
2025-12-28,05:52 AM,12:18 PM,02:37 PM,04:22 PM,05:52 PM
2025-12-29,05:53 AM,12:19 PM,02:38 PM,04:23 PM,05:53 PM
2025-12-30,05:54 AM,12:19 PM,02:39 PM,04:24 PM,05:54 PM
2025-12-31,05:55 AM,12:20 PM,02:40 PM,04:25 PM,05:55 PM
